2023-02-01;15:12:31;244785975;MVTTSUN;/fox
2023-02-01;15:13:02;244785975;MVTTSUN;Писька
2023-02-01;15:15:32;244785975;MVTTSUN;/help
2023-02-01;15:17:13;428695235;None;/start
2023-02-01;15:17:15;428695235;None;/fox
2023-02-01;15:17:22;428695235;None;/duck
2023-02-01;15:17:42;428695235;None;Распределение Пуассона
2023-02-01;15:20:10;428695235;None;Нормальное распределение
2023-02-01;15:20:31;244785975;MVTTSUN;Распределение Пуассона
2023-02-01;15:21:01;444505515;None;/start
2023-02-01;15:21:04;444505515;None;/duck
2023-02-01;15:21:07;444505515;None;/fox
2023-02-01;15:21:12;444505515;None;/help
2023-02-01;15:21:26;444505515;None;Елка
2023-02-01;15:24:02;700170532;mlvisual;/start
2023-02-01;15:24:06;700170532;mlvisual;Кто ты
2023-02-01;15:24:26;700170532;mlvisual;Каково твоё предназначение
2023-02-01;15:26:24;700170532;mlvisual;Что ты умеешь
2023-02-01;15:26:41;700170532;mlvisual;Что ты умеешь?
2023-02-01;15:27:05;700170532;mlvisual;Как тебя зовут
2023-02-01;15:27:15;700170532;mlvisual;Как тебя зовут?
2023-02-01;15:27:56;244785975;MVTTSUN;Простой калькулятор на JavaScript
2023-02-01;15:31:48;428695235;None;Функции в языке Python
2023-02-01;15:48:20;444505515;None;Золото
